PassengerId,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,FamilySize,OHE_CabinDeck_B,OHE_CabinDeck_C,OHE_CabinDeck_D,OHE_CabinDeck_E,OHE_CabinDeck_F,OHE_CabinDeck_G,OHE_CabinDeck_T,OHE_CabinSide_S,OHE_HomePlanet_Europa,OHE_HomePlanet_Mars,OHE_Destination_PSO J318.5-22,OHE_Destination_TRAPPIST-1e
0001_01,False,0.6954125649821259,False,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,False,1,True,False,False,False,False,False,False,False,True,False,False,True
0002_01,False,-0.33676884700227866,False,-0.1767479618065719,-0.2799930035540947,-0.26611234301062203,0.20616518692034194,-0.23049418337407357,True,1,False,False,False,False,True,False,False,True,False,False,False,True
0003_01,False,2.002842353495705,True,-0.27908320302014816,1.8451627192257491,-0.3094936723404968,5.5963565655153875,-0.22605784993050296,False,2,False,False,False,False,False,False,False,True,True,False,False,True
0003_02,False,0.28254000018836406,False,-0.3457561632047509,0.47903373903674384,0.33428525491484484,2.6363844591380237,-0.09829144675566902,False,2,False,False,False,False,False,False,False,True,True,False,False,True
0004_01,False,-0.8872656000606277,False,0.12405562600303104,-0.24365027883035753,-0.04747044318805318,0.22015206042950844,-0.2677593843000668,True,1,False,False,False,False,True,False,False,True,False,False,False,True
0005_01,False,1.0394730356435942,False,-0.3457561632047509,0.0024078410205187004,-0.3094936723404968,-0.019373148414968108,-0.26953391767749507,True,1,False,False,False,False,True,False,False,False,False,False,True,False
0006_01,False,-0.19914465873769138,False,-0.2806337369779296,0.6315540264019358,-0.30428791282091183,-0.27375941036293405,-0.26953391767749507,True,1,False,False,False,False,True,False,False,True,False,False,False,True
0007_01,False,0.42016418845295134,False,-0.3457561632047509,0.1823341175216437,-0.27999436839618197,-0.08493661798918614,-0.26953391767749507,True,1,False,False,False,False,True,False,False,True,False,False,False,True
0008_01,True,-1.024889788325215,False,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,True,2,True,False,False,False,False,False,False,False,True,False,False,False
0008_03,False,1.1082851297758878,False,-0.285285338851274,4.060877362628676,0.7125704466713528,-0.17759965498741428,-0.15951284827694362,True,2,True,False,False,False,False,False,False,False,True,False,False,False
